freebsd/man2/_exit.2             _exit
freebsd/man2/_umtx_op.2          _umtx_op
freebsd/man2/abort2.2            abort2
freebsd/man2/accept.2            accept,accept4
freebsd/man2/access.2            access,eaccess,faccessat
freebsd/man2/acct.2              acct
freebsd/man2/adjtime.2           adjtime
freebsd/man2/aio_cancel.2        aio_cancel
freebsd/man2/aio_error.2         aio_error
freebsd/man2/aio_fsync.2         aio_fsync
freebsd/man2/aio_mlock.2         aio_mlock,.Xr,mlock,2,operation
freebsd/man2/aio_read.2          aio_read
freebsd/man2/aio_return.2        aio_return
freebsd/man2/aio_suspend.2       aio_suspend
freebsd/man2/aio_waitcomplete.2  aio_waitcomplete
freebsd/man2/aio_write.2         aio_write
freebsd/man2/bind.2              bind
freebsd/man2/bindat.2            bindat
freebsd/man2/brk.2               brk,sbrk
freebsd/man2/cap_enter.2         cap_enter,cap_getmode
freebsd/man2/cap_fcntls_limit.2  cap_fcntls_limit,cap_fcntls_get
freebsd/man2/cap_ioctls_limit.2  cap_ioctls_limit,cap_ioctls_get
freebsd/man2/cap_rights_limit.2  cap_rights_limit
freebsd/man2/chdir.2             chdir,fchdir
freebsd/man2/chflags.2           chflags,lchflags,fchflags,chflagsat
freebsd/man2/chmod.2             chmod,fchmod,lchmod,fchmodat
freebsd/man2/chown.2             chown,fchown,lchown,fchownat
freebsd/man2/chroot.2            chroot
freebsd/man2/clock_gettime.2     clock_gettime,clock_settime,clock_getres
freebsd/man2/close.2             close
freebsd/man2/closefrom.2         closefrom
freebsd/man2/connect.2           connect
freebsd/man2/connectat.2         connectat
freebsd/man2/cpuset.2            cpuset,cpuset_getid,cpuset_setid
freebsd/man2/cpuset_getaffinity.2 cpuset_getaffinity,cpuset_setaffinity
freebsd/man2/cpuset_getdomain.2  cpuset_getdomain,cpuset_setdomain
freebsd/man2/creat.2             creat
freebsd/man2/dup.2               dup,dup2
freebsd/man2/execve.2            execve,fexecve
freebsd/man2/extattr_get_file.2  extattr_get_fd,extattr_set_fd,extattr_delete_fd,extattr_list_fd,extattr_get_file,extattr_set_file,extattr_delete_file,extattr_list_file,extattr_get_link,extattr_set_link,extattr_delete_link,extattr_list_link
freebsd/man2/fcntl.2             fcntl
freebsd/man2/ffclock.2           ffclock_getcounter,ffclock_getestimate,ffclock_setestimate
freebsd/man2/fhlink.2            fhlink,fhlinkat
freebsd/man2/fhopen.2            fhopen,fhstat,fhstatfs
freebsd/man2/fhreadlink.2        fhreadlink
freebsd/man2/flock.2             flock
freebsd/man2/fork.2              fork
freebsd/man2/fsync.2             fdatasync,fsync
freebsd/man2/getdirentries.2     getdirentries,getdents
freebsd/man2/getdtablesize.2     getdtablesize
freebsd/man2/getfh.2             getfh,lgetfh,getfhat
freebsd/man2/getfsstat.2         getfsstat
freebsd/man2/getgid.2            getgid,getegid
freebsd/man2/getgroups.2         getgroups
freebsd/man2/getitimer.2         getitimer,setitimer
freebsd/man2/getlogin.2          getlogin,getlogin_r,setlogin
freebsd/man2/getloginclass.2     getloginclass,setloginclass
freebsd/man2/getpeername.2       getpeername
freebsd/man2/getpgrp.2           getpgrp
freebsd/man2/getpid.2            getpid,getppid
freebsd/man2/getpriority.2       getpriority,setpriority
freebsd/man2/getrandom.2         getrandom
freebsd/man2/getrlimit.2         getrlimit,setrlimit
freebsd/man2/getrusage.2         getrusage
freebsd/man2/getsid.2            getsid
freebsd/man2/getsockname.2       getsockname
freebsd/man2/getsockopt.2        getsockopt,setsockopt
freebsd/man2/gettimeofday.2      gettimeofday,settimeofday
freebsd/man2/getuid.2            getuid,geteuid
freebsd/man2/i386_get_ioperm.2   i386_get_ioperm,i386_set_ioperm
freebsd/man2/i386_get_ldt.2      i386_get_ldt,i386_set_ldt
freebsd/man2/i386_vm86.2         i386_vm86
freebsd/man2/intro.2             intro
freebsd/man2/ioctl.2             ioctl
freebsd/man2/issetugid.2         issetugid
freebsd/man2/jail.2              jail,jail_get,jail_set,jail_remove,jail_attach
freebsd/man2/kenv.2              kenv
freebsd/man2/kill.2              kill
freebsd/man2/killpg.2            killpg
freebsd/man2/kldfind.2           kldfind
freebsd/man2/kldfirstmod.2       kldfirstmod
freebsd/man2/kldload.2           kldload
freebsd/man2/kldnext.2           kldnext
freebsd/man2/kldstat.2           kldstat
freebsd/man2/kldsym.2            kldsym
freebsd/man2/kldunload.2         kldunload
freebsd/man2/kqueue.2            kqueue,kevent
freebsd/man2/ktrace.2            ktrace
freebsd/man2/link.2              link,linkat
freebsd/man2/lio_listio.2        lio_listio
freebsd/man2/listen.2            listen
freebsd/man2/lseek.2             lseek
freebsd/man2/madvise.2           madvise
freebsd/man2/mincore.2           mincore
freebsd/man2/minherit.2          minherit
freebsd/man2/mkdir.2             mkdir,mkdirat
freebsd/man2/mkfifo.2            mkfifo,mkfifoat
freebsd/man2/mknod.2             mknod,mknodat
freebsd/man2/mlock.2             mlock,munlock
freebsd/man2/mlockall.2          mlockall,munlockall
freebsd/man2/mmap.2              mmap
freebsd/man2/modfind.2           modfind
freebsd/man2/modnext.2           modnext
freebsd/man2/modstat.2           modstat
freebsd/man2/mount.2             mount,nmount,unmount
freebsd/man2/mprotect.2          mprotect
freebsd/man2/mq_close.2          mq_close
freebsd/man2/mq_getattr.2        mq_getattr
freebsd/man2/mq_notify.2         mq_notify
freebsd/man2/mq_open.2           mq_open
freebsd/man2/mq_receive.2        mq_receive
freebsd/man2/mq_send.2           mq_send
freebsd/man2/mq_setattr.2        mq_setattr
freebsd/man2/msgctl.2            msgctl
freebsd/man2/msgget.2            msgget
